Feature,Estimate,Std Error,t-stat,P-Value
Intercept,88025.80522026539,55558.72448897772,0.07815436993958617,0.9377103767169381
MIN_YEARS_EXPERIENCE,4342.1571070831105,55558.724488977714,0.07815436995437536,0.9377103767065829
MAX_YEARS_EXPERIENCE,4342.157107904778,4682.844125790892,-2.529844865073358,0.011461163030290988
EMPLOYMENT_TYPE_NAME_vec_Full-time (> 32 hours),-11846.869165571026,5546.030871851322,-3.1688940790335955,0.0015453187285083825
EMPLOYMENT_TYPE_NAME_vec_Part-time (≤ 32 hours),-17574.784391947185,4708.852146266553,18.693686377487406,0.0
